"v_products_model";"v_status";"v_products_name_3";"v_products_description_3";"v_products_image";"v_products_price";"v_products_quantity";"v_products_weight";"v_categories_image_1";"v_categories_name_1_3";"v_categories_image_2";"v_categories_name_2_3";"v_manufacturers_name";"v_tax_class_title";"EOREOR"
17678;"Active";"HUEVO DEL AMOR INALAMBRICO VIOLETA";"<p>
	Este peque&ntilde;o huevo vibrador dispone&nbsp; de un mando a distancia que funciona hasta 10 m de distancia.<br />
	<br />
	Pru&eacute;balo mientras los dos est&aacute;is en casa mirando una pel&iacute;cula, por ejemplo. Te garantizamos que no ver&aacute;s el final.<br />
	<br />
	Este huevo vibrador es adem&aacute;s resistente al agua as&iacute; podr&aacute;s utilizarlo para divertidos y placenteros ba&ntilde;os.<br />
	<br />
	Ideal para llevarlo puesto en cualquier lugar y accionarlo cu&aacute;ndo lo desees.<br />
	<br />
	Funciona con 2 pilas LR03/AAA (No incluidas) y 1 pila LRV08 de 12 V (Incluida).</p>
";"products/HUEVO_DEL_AMOR_INALAMBRICO_VIOLETA.jpg";"36.65";34;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_control_remoto.jpg";"CONTROL REMOTO";"TOY JOY";"IVA (Normal)";"EOREOR"
17663;"Active";"MIA ISABELLA BOMBA DE SUCCION CON MANOMETRO DIGITAL";"<p>
	&iquest;Quieres saber mi gran secreto para tener unas impresionantes erecciones?.<br />
	<br />
	Esta bomba de succi&oacute;n es la herramienta que utilizo para obtener las ereccione m&aacute;s grandes, r&iacute;gidas&nbsp; y duraderas que nunca hayas visto.<br />
	<br />
	Simplemente deslice su pene dentro de la funda de goma suave, apriete&nbsp; el gatillo de f&aacute;cil agarre y ver&aacute; como se hincha poderosamente. Para aliviar la presi&oacute;n solo tiene que pulsar la v&aacute;lvula de liberaci&oacute;n r&aacute;pida y ya esta listo para la acci&oacute;n.<br />
	<br />
	- Man&oacute;metro digital.<br />
	- Bot&oacute;n de liberaci&oacute;n de presi&oacute;n r&aacute;pida.<br />
	- Mango f&aacute;cil de usar.<br />
	- Incluye muestras gratis de lubricante, crema estimulante (erecci&oacute;n), crema vigorizante y limpiador de juguetes.<br />
	<br />
	Medidas: 25 cm x 6,5 cm.</p>
";"products/MIA_ISABELLA_BOMBA_DE_SUCCION_CON_MANOMETRO_DIGITAL.jpg";"81.05";19;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_desarrolladores.jpg";"DESARROLLADORES";"PIPEDREAM";"IVA (Normal)";"EOREOR"
17433;"Active";"MASAJEADOR DE CLITORIS 12 PULSACIONES NEGRO";"<p>
	El Twizzle Trigger de Shots Toys presenta un cabezal flexible y con estr&iacute;as que produce un enorme placer sensual. Este vibrador impermeable es muy el&aacute;stico y flexible.<br />
	<br />
	La parte superior se puede doblar en cualquier direcci&oacute;n para alcanzar as&iacute; la zona que se desee. Presenta una vibraci&oacute;n muy potente con varias velocidades y es f&aacute;cil de manejar a trav&eacute;s de un solo bot&oacute;n.<br />
	<br />
	Medidas: 19 cm. desde la base.<br />
	Di&aacute;metro del cabezal: 3,5 cm.<br />
	<br />
	12 velocidades de vibraci&oacute;n.<br />
	<br />
	Libre de ftalatos.<br />
	Pilas incluidas.<br />
	<br />
	Color: negro.</p>
";"products/MASAJEADOR_DE_CLITORIS_12_PULSACIONES_NEGRO.jpg";"60.15";1;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_estimuladores.jpg";"ESTIMULADORES";"SHOTS";"IVA (Normal)";"EOREOR"
17434;"Active";"MASAJEADOR DE CLITORIS 12 PULSACIONES ROSA";"<p>
	El Twizzle Trigger de Shots Toys presenta un cabezal flexible y con estr&iacute;as que produce un enorme placer sensual. Este vibrador impermeable es muy el&aacute;stico y flexible.<br />
	<br />
	La parte superior se puede doblar en cualquier direcci&oacute;n para alcanzar as&iacute; la zona que se desee. Presenta una vibraci&oacute;n muy potente con varias velocidades y es f&aacute;cil de manejar a trav&eacute;s de un solo bot&oacute;n.<br />
	<br />
	Medidas: 19 cm. desde la base.<br />
	Di&aacute;metro del cabezal: 3,5 cm.<br />
	<br />
	12 velocidades de vibraci&oacute;n.<br />
	<br />
	Libre de ftalatos.<br />
	Pilas incluidas.<br />
	<br />
	Color: rosa.</p>
";"products/MASAJEADOR_DE_CLITORIS_12_PULSACIONES_ROSA.jpg";"60.15";1;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_estimuladores.jpg";"ESTIMULADORES";"SHOTS";"IVA (Normal)";"EOREOR"
17472;"Active";"WE VIBE SALSA BLANCO MASAJEADOR PERSONAL";"<p>
	Placer &iacute;ntimo para jugar a solas o en pareja.<br />
	<br />
	Este magnifico masajeador Salsa de We-Vibe te ofrecer&aacute; una potente y satisfactoria capacidad de vibraci&oacute;n. Este vibrador es una elegante actualizaci&oacute;n de los cl&aacute;sicos mini-tradicionales con la misma potencia pero exquisitamente dise&ntilde;ado.<br />
	<br />
	Este modelo s&uacute;per sexy tiene bordes estrechos y zonas planas para ofrecerte una gran variedad de emociones. Siempre ser&aacute; la pareja de baile perfecta, tanto a solas como en pareja. Tu ya sabes lo que queremos decir.<br />
	<br />
	- 8 modos de vibraci&oacute;n.<br />
	- Ultra potente.<br />
	- Recargable.<br />
	- Resistente al agua.<br />
	- Fabricado con silicona m&eacute;dica.<br />
	- Solo para uso externo.<br />
	<br />
	Tama&ntilde;o: 8,5 cm x 2 cm.<br />
	<br />
	Color blanco.</p>
";"products/WE_VIBE_SALSA_BLANCO_MASAJEADOR_PERSONAL.jpg";"60.95";3;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_estimuladores.jpg";"ESTIMULADORES";"WE-VIBE";"IVA (Normal)";"EOREOR"
17470;"Active";"WE VIBE SALSA ROJO MASAJEADOR PERSONAL";"<p>
	Placer &iacute;ntimo para jugar a solas o en pareja.<br />
	<br />
	Este magnifico masajeador Salsa de We-Vibe te ofrecer&aacute; una potente y satisfactoria capacidad de vibraci&oacute;n. Este vibrador es una elegante actualizaci&oacute;n de los cl&aacute;sicos mini-tradicionales con la misma potencia pero exquisitamente dise&ntilde;ado.<br />
	<br />
	Este modelo s&uacute;per sexy tiene bordes estrechos y zonas planas para ofrecerte una gran variedad de emociones. Siempre ser&aacute; la pareja de baile perfecta, tanto a solas como en pareja. Tu ya sabes lo que queremos decir.<br />
	<br />
	- 8 modos de vibraci&oacute;n.<br />
	- Ultra potente.<br />
	- Recargable.<br />
	- Resistente al agua.<br />
	- Fabricado con silicona m&eacute;dica.<br />
	- Solo para uso externo.<br />
	<br />
	Tama&ntilde;o: 8,5 cm x 2 cm.<br />
	<br />
	Color rojo.</p>
";"products/WE_VIBE_SALSA_ROJO_MASAJEADOR_PERSONAL.jpg";"79.00";2;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_estimuladores.jpg";"ESTIMULADORES";"WE-VIBE";"IVA (Normal)";"EOREOR"
17473;"Active";"WE VIBE TANGO AZUL MASAJEADOR PERSONAL";"<p>
	Placer &iacute;ntimo para jugar a solas o en pareja.<br />
	<br />
	Este magnifico masajeador Tango de We-Vibe te ofrecer&aacute; una potente y satisfactoria capacidad de vibraci&oacute;n. Este vibrador es una elegante<br />
	actualizaci&oacute;n de los cl&aacute;sicos mini-tradicionales con la misma potencia pero<br />
	exquisitamente dise&ntilde;ado.<br />
	<br />
	Este modelo s&uacute;per sexy tiene bordes estrechos y zonas planas para ofrecerte una gran variedad de emociones. Siempre ser&aacute; la pareja de baile perfecta, tanto a solas como en pareja. Tu ya sabes lo que queremos decir.<br />
	<br />
	- 8 modos de vibraci&oacute;n.<br />
	- Ultra potente.<br />
	- Recargable.<br />
	- Resistente al agua.<br />
	- Fabricado con silicona m&eacute;dica.<br />
	- Solo para uso externo.<br />
	<br />
	Tama&ntilde;o: 8,5 cm x 2 cm.<br />
	<br />
	Color azul.</p>
";"products/WE_VIBE_TANGO_AZUL_MASAJEADOR_PERSONAL.jpg";"78.95";1;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_estimuladores.jpg";"ESTIMULADORES";"WE-VIBE";"IVA (Normal)";"EOREOR"
17474;"Active";"WE VIBE TANGO LILA MASAJEADOR PERSONAL";"<p>
	Placer &iacute;ntimo para jugar a solas o en pareja.<br />
	<br />
	Este magnifico masajeador Tango de We-Vibe te ofrecer&aacute; una potente y satisfactoria capacidad de vibraci&oacute;n. Este vibrador es una elegante<br />
	actualizaci&oacute;n de los cl&aacute;sicos mini-tradicionales con la misma potencia pero exquisitamente dise&ntilde;ado.<br />
	<br />
	Este modelo s&uacute;per sexy tiene bordes estrechos y zonas planas para ofrecerte una gran variedad de emociones. Siempre ser&aacute; la pareja de baile perfecta, tanto a solas como en pareja. Tu ya sabes lo que queremos decir.<br />
	<br />
	- 8 modos de vibraci&oacute;n.<br />
	- Ultra potente.<br />
	- Recargable.<br />
	- Resistente al agua.<br />
	- Fabricado con silicona m&eacute;dica.<br />
	- Solo para uso externo.<br />
	<br />
	Tama&ntilde;o: 8,5 cm x 2 cm.<br />
	<br />
	Color lila.</p>
";"products/WE_VIBE_TANGO_LILA_MASAJEADOR_PERSONAL.jpg";"78.95";2;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_estimuladores.jpg";"ESTIMULADORES";"WE-VIBE";"IVA (Normal)";"EOREOR"
17471;"Active";"WE VIBE TANGO ROSA MASAJEADOR PERSONAL";"<p>
	Placer &iacute;ntimo para jugar a solas o en pareja.<br />
	<br />
	Este magnifico masajeador Tango de We-Vibe te ofrecer&aacute; una potente y satisfactoria capacidad de vibraci&oacute;n. Este vibrador es una elegante<br />
	actualizaci&oacute;n de los cl&aacute;sicos mini-tradicionales con la misma potencia pero exquisitamente dise&ntilde;ado.<br />
	<br />
	Este modelo s&uacute;per sexy tiene bordes estrechos y zonas planas para ofrecerte una gran variedad de emociones. Siempre ser&aacute; la pareja de baile perfecta, tanto a solas como en pareja. Tu ya sabes lo que queremos decir.<br />
	<br />
	- 8 modos de vibraci&oacute;n.<br />
	- Ultra potente.<br />
	- Recargable.<br />
	- Resistente al agua.<br />
	- Fabricado con silicona m&eacute;dica.<br />
	- Solo para uso externo.<br />
	<br />
	Tama&ntilde;o: 8,5 cm x 2 cm.<br />
	<br />
	Color rosa.</p>
";"products/WE_VIBE_TANGO_ROSA_MASAJEADOR_PERSONAL.jpg";"78.95";2;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_estimuladores.jpg";"ESTIMULADORES";"WE-VIBE";"IVA (Normal)";"EOREOR"
17475;"Active";"WE VIBE TOUCH PURPLE MASAJEADOR PERSONAL";"<p>
	Placer &iacute;ntimo para jugar a solas o en pareja.<br />
	<br />
	No dejes que su suave tacto y su dulce y perfecta ergonom&iacute;a te enga&ntilde;e, este magnifico Touch de We-Vibe te ofrecer&aacute; una potente y satisfactoria capacidad de vibraci&oacute;n.<br />
	<br />
	Adem&aacute;s el masajeador sensual acaba en una punta redondeada que te ofrecer&aacute; un contacto mucho m&aacute;s placentero y su forma en onda encontrar&aacute; tus zonas m&aacute;s sensibles para estimularlas del mejor modo.<br />
	<br />
	- 8 modos de vibraci&oacute;n.<br />
	- Ultra potente.<br />
	- Recargable.<br />
	- Resistente al agua.<br />
	- Fabricado con silicona m&eacute;dica.<br />
	- Solo para uso externo.<br />
	<br />
	Tama&ntilde;o: 10 cm x 4,5 cm x 3,5 cm.<br />
	<br />
	Color lila.</p>
";"products/WE_VIBE_TOUCH_PURPLE_MASAJEADOR_PERSONAL.jpg";"89.00";1;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_estimuladores.jpg";"ESTIMULADORES";"WE-VIBE";"IVA (Normal)";"EOREOR"
17477;"Active";"WE VIBE TOUCH RUBY MASAJEADOR PERSONAL";"<p>
	Placer &iacute;ntimo para jugar a solas o en pareja.<br />
	<br />
	No dejes que su suave tacto y su dulce y perfecta ergonom&iacute;a te enga&ntilde;e, este magnifico Touch de We-Vibe te ofrecer&aacute; una potente y satisfactoria capacidad de vibraci&oacute;n.<br />
	<br />
	Adem&aacute;s el masajeador sensual acaba en una punta redondeada que te ofrecer&aacute; un contacto mucho m&aacute;s placentero y su forma en onda encontrar&aacute; tus zonas m&aacute;s sensibles para estimularlas del mejor modo.<br />
	<br />
	- 8 modos de vibraci&oacute;n.<br />
	- Ultra potente.<br />
	- Recargable.<br />
	- Resistente al agua.<br />
	- Fabricado con silicona m&eacute;dica.<br />
	- Solo para uso externo.<br />
	<br />
	Tama&ntilde;o: 10 cm x 4,5 cm x 3,5 cm.<br />
	<br />
	Color magenta brillante.</p>
";"products/WE_VIBE_TOUCH_RUBY_MASAJEADOR_PERSONAL.jpg";"89.00";2;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_estimuladores.jpg";"ESTIMULADORES";"WE-VIBE";"IVA (Normal)";"EOREOR"
17428;"Active";"PJUR WOMAN SPRAY LIMPIADOR DE JUGUETES";"<p>
	Spray para la limpieza delicada e higi&eacute;nica de la zona intima as&iacute; como de los juguetes er&oacute;ticos.<br />
	<br />
	Reduce los olores corporales y funciona como profilaxis de infecciones intensivamente contra los microbios, las bacterias, la micosis, los virus (entre otros la Hepatitis B y el VIH).<br />
	<br />
	Especialmente apropiadas para el tratamiento en piel sensible o irritada (y las mucosas).<br />
	<br />
	Tratamiento seguro en todos los materiales sensibles al alcohol, el l&aacute;tex, el caucho, as&iacute; que las siliconas.<br />
	<br />
	Se ha comprobado cl&iacute;nicamente la compatibilidad con la piel, el producto es inodoro y sin sabor.<br />
	<br />
	Se ha comprobado su eficiencia en test cl&iacute;nicos.<br />
	<br />
	Utilizaci&oacute;n: Vaporiza directamente en la zona corporal o el objeto que desea limpiar, y si llega el caso, fri&eacute;guelo.<br />
	<br />
	Desinfecta e higieniza todos tus juguetes y mantenlos como el primer d&iacute;a.<br />
	<br />
	Es un art&iacute;culo imprescindible.<br />
	<br />
	Envase de 100 ml.</p>
";"products/PJUR_WOMAN_SPRAY_LIMPIADOR_DE_JUGUETES.jpg";"14.25";15;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_limpieza_y_conserv.jpg";"LIMPIEZA Y CONSERV.";"PJUR";"IVA (Normal)";"EOREOR"
17586;"Active";"FLESHJACK BOYS ANO BRENT CORRIGAN";"<p>
	Fleshjack se complace en anunciar una nueva l&iacute;nea de productos Fleshjack Boys.</p>
<p>
	Al igual que nuestras chicas Fleshlight &reg; de gran &eacute;xito de la marca, cada masturbador Fleshjack chicos es una r&eacute;plica exacta de la anatom&iacute;a de la estrella.<br />
	<br />
	&iexcl;Si alguna vez ha fantaseado con llegar a follar el trasero apretado de Brent Corrigan, ahora es su oportunidad! Moldeado usando el cuerpo del mismo actor!<br />
	<br />
	Brent Corrigan Trasero, con TEXTURA SQUEEZE. Comienza con una entrada ultra estrecha que r&aacute;pidamente se transforma en un pasaje bien enroscado que estalla en un canal ondulado.<br />
	<br />
	Incluye<br />
	- Manga Brent Corrigan Fleshjack<br />
	- Trasero con la textura interior aprieta<br />
	- Un estuche color azul p&aacute;lido de Fleshjack.<br />
	- Material:silicona de grado medicinal, firme pero flexible.<br />
	- Color realista como la piel.<br />
	<br />
	- Medidas: 25,5 cm.</p>
";"products/FLESHJACK_BOYS_ANO_BRENT_CORRIGAN.jpg";"71.95";1;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_masturbador_el.jpg";"MASTURBADORES EL";"FLESHLIGHT";"IVA (Normal)";"EOREOR"
17591;"Active";"FLESHJACK BOYS ANO BRENT EVERETT";"<p>
	Fleshjack se complace en anunciar una nueva l&iacute;nea de productos Fleshjack Boys.<br />
	Al igual que nuestras chicas Fleshlight &reg; de gran &eacute;xito de la marca, cada masturbador Fleshjack chicos es una r&eacute;plica exacta de la anatom&iacute;a de la estrella.<br />
	<br />
	&iexcl;Si alguna vez ha fantaseado con llegar a follar el trasero apretado de Brent Everett, ahora es su oportunidad! Moldeado usando el cuerpo del mismo actor!<br />
	<br />
	Brent Everett Trasero, con TEXTURA SQUEEZE. Comienza con una entrada ultra estrecha que r&aacute;pidamente se transforma en un pasaje bien enroscado que estalla en un canal ondulado.<br />
	<br />
	Incluye<br />
	- Manga Brent Everett Fleshjack<br />
	- Trasero con la textura interior aprieta<br />
	- Un estuche color azul p&aacute;lido de Fleshjack.<br />
	- Material:silicona de grado medicinal, firme pero flexible.<br />
	- Color realista como la piel.<br />
	- Medidas: 25,5 cm.<br />
	<br />
	&nbsp;</p>
";"products/FLESHJACK_BOYS_ANO_BRENT_EVERETT.jpg";"71.95";1;"0.5";;"JUGUETES XXX";"categorias/juguetes_XXX/categoria_masturbador_el.jpg";"MASTURBADORES EL";"FLESHLIGHT";"IVA (Normal)";"EOREOR"
